address,c_b_no,Borough
760 MADISON AVENUE,108,MANHATTAN
88-14 SUTPHIN BOULEVARD,412,QUEENS
170 MARCY AVENUE,301,BROOKLYN
110 EAST GUN HILL ROAD,207,BRONX
880 ROGERS AVENUE,317,BROOKLYN
943 GRANT AVENUE,NA,BRONX
2317 CAMBRELENG AVENUE,206,BRONX
455 FULTON STREET,302,BROOKLYN
1739 GRAND AVENUE,205,BRONX
29 CLAY STREET,301,BROOKLYN
204 EAST   75 STREET,108,MANHATTAN
261 HULL STREET,316,BROOKLYN
921 EAGLE AVENUE,203,BRONX
403 EVERGREEN AVENUE,304,BROOKLYN
136-78 41 AVENUE,407,QUEENS
305 CALYER STREET,301,BROOKLYN
1988 3 AVENUE,111,MANHATTAN
3019 CORLEAR AVENUE,208,BRONX
1329 MORRIS AVENUE,204,BRONX
300 EAST   50 STREET,106,MANHATTAN
20-12 MOTT AVENUE,414,QUEENS
1946 OCEAN AVENUE,314,BROOKLYN
2708 GLENWOOD ROAD,314,BROOKLYN
132 WEST 130 STREET,110,MANHATTAN
1984 3 AVENUE,111,MANHATTAN
151 BOWERY,103,MANHATTAN
201 EAST 14 STREET,106,MANHATTAN
9 BUSHWICK AVENUE,NA,BROOKLYN
21-21 31 STREET,401,QUEENS
1888 CONEY ISLAND AVENUE,312,BROOKLYN
1773 WEEKS AVENUE,205,BRONX
250 WATER STREET,302,BROOKLYN
35-01 36 AVENUE,401,QUEENS
1481 2 AVENUE,108,MANHATTAN
1135 TELLER AVENUE,204,BRONX
1355 55 STREET,312,BROOKLYN
143 POWERS STREET,301,BROOKLYN
566 CARROLL STREET,306,BROOKLYN
17 WEST END AVENUE,315,BROOKLYN
537 WEST   59 STREET,107,MANHATTAN
353 2 AVENUE,106,MANHATTAN
97-26 147 PLACE,412,QUEENS
319 PROSPECT PLACE,308,BROOKLYN
4778 BROADWAY,112,MANHATTAN
437 4 AVENUE,306,BROOKLYN
712 EAST 187 STREET,206,BRONX
23-31 ASTORIA BOULEVARD,401,QUEENS
537 BROOKLYN AVENUE,309,BROOKLYN
62 MARTENSE STREET,314,BROOKLYN
26-18 4 STREET,401,QUEENS
21 FOSTER ROAD,503,STATEN ISLAND
623 ROGERS AVENUE,309,BROOKLYN
2423 BARKER AVENUE,211,BRONX
951 OLMSTEAD AVENUE,209,BRONX
114 15 STREET,307,BROOKLYN
121 WEST 125 STREET,110,MANHATTAN
36 WEST 66 STREET,107,MANHATTAN
6317 FT HAMILTON PARKWAY,310,BROOKLYN
296 WYTHE AVENUE,301,BROOKLYN
3178 VILLA AVENUE,207,BRONX
1325 BOSTON ROAD,203,BRONX
420 TOMPKINS AVENUE,303,BROOKLYN
159 BROADWAY,301,BROOKLYN
275 SPRING STREET,102,MANHATTAN
127 TROUTMAN STREET,304,BROOKLYN
4419 12 AVENUE,312,BROOKLYN
983 ST JOHNS PLACE,308,BROOKLYN
42-06 ORCHARD STREET,402,QUEENS
573 FULTON STREET,302,BROOKLYN
38 SKILLMAN AVENUE,301,BROOKLYN
16 WADE SQUARE,206,BRONX
2519 CRESTON AVENUE,207,BRONX
1255 DECATUR STREET,304,BROOKLYN
124-22 QUEENS BOULEVARD,409,QUEENS
98-69 QUEENS BOULEVARD,406,QUEENS
255 LORIMER STREET,301,BROOKLYN
585 FULTON STREET,302,BROOKLYN
292 GREENWICH STREET,101,MANHATTAN
1518 MACOMBS ROAD,204,BRONX
255 EAST 39 STREET,106,MANHATTAN
1000 PACIFIC STREET,308,BROOKLYN
37-12 31 STREET,401,QUEENS
200 EAST 75 STREET,108,MANHATTAN
1211 1 AVENUE,108,MANHATTAN
409 EAST 158 STREET,201,BRONX
290 WATER STREET,302,BROOKLYN
217 9 STREET,306,BROOKLYN
96 DEKALB AVENUE,302,BROOKLYN
150 LAWRENCE STREET,302,BROOKLYN
1511 PARK PLACE,308,BROOKLYN
54-31 MYRTLE AVENUE,405,QUEENS
1529 BROOKLYN AVENUE,317,BROOKLYN
1614 FULTON STREET,303,BROOKLYN
1435 BROADWAY,401,QUEENS
299 3 AVENUE,106,MANHATTAN
41-34 45 STREET,402,QUEENS
11-24 31 DRIVE,401,QUEENS
1335 3 AVENUE,108,MANHATTAN
240 HUNTINGTON STREET,306,BROOKLYN
305 WEST 48 STREET,104,MANHATTAN
521 WEST  134 STREET,109,MANHATTAN
22 EAST 103 STREET,111,MANHATTAN
74-02 GRAND AVENUE,405,QUEENS
532 UNION STREET,306,BROOKLYN
326 7 AVENUE,105,MANHATTAN
1201 TELLER AVENUE,204,BRONX
302 MAUJER STREET,301,BROOKLYN
727 DEKALB AVENUE,303,BROOKLYN
519 WEST 29 STREET,104,MANHATTAN
102 SOMERS STREET,316,BROOKLYN
15 WEST 65 STREET,107,MANHATTAN
90 HERBERT STREET,301,BROOKLYN
65-27 ROOSEVELT AVENUE,402,QUEENS
143 VARICK STREET,102,MANHATTAN
48 BLEECKER STREET,304,BROOKLYN
396 FLATBUSH AVENUE EXTENSION,302,BROOKLYN
1750 BEDFORD AVENUE,309,BROOKLYN
1020 ROGERS AVENUE,317,BROOKLYN
2181 MORRIS AVENUE,205,BRONX
200 EAST 75 STREET,108,MANHATTAN
68 NORTH HENRY STREET,301,BROOKLYN
301 STOCKHOLM STREET,304,BROOKLYN
268 CONKLIN AVENUE,318,BROOKLYN
937 HOME STREET,203,BRONX
403 EAST 79 STREET,108,MANHATTAN
1 DEP PLAZA,101,MANHATTAN
309 3 STREET,306,BROOKLYN
1620 FULTON STREET,303,BROOKLYN
18 FULTON STREET,101,MANHATTAN
2-20 MALT DRIVE,402,QUEENS
166 BAY 49 STREET,313,BROOKLYN
446A LAFAYETTE AVENUE,303,BROOKLYN
196 WALWORTH STREET,303,BROOKLYN
124 LEXINGTON AVENUE,105,MANHATTAN
95 29 STREET,307,BROOKLYN
43-19 54 STREET,402,QUEENS
21 EAST   65 STREET,108,MANHATTAN
16 NOEL ROAD,NA,QUEENS
2239 CHURCH AVENUE,314,BROOKLYN
579 FULTON STREET,302,BROOKLYN
38-15 9 STREET,401,QUEENS
538 6 AVENUE,105,MANHATTAN
164 CANAL STREET WEST,201,BRONX
417 RUTLAND ROAD,309,BROOKLYN
1819 SEDGWICK AVENUE,205,BRONX
84-18 GRAND AVENUE,404,QUEENS
1041 FLUSHING AVENUE,301,BROOKLYN
32 WEST 48 STREET,105,MANHATTAN
304 HUDSON STREET,102,MANHATTAN
447 WALES AVENUE,201,BRONX
3101 WEBSTER AVENUE,207,BRONX
410 FENIMORE STREET,309,BROOKLYN
2070 HONEYWELL AVENUE,206,BRONX
50-09 5 STREET,402,QUEENS
724 8 AVENUE,105,MANHATTAN
94 TOMPKINS AVENUE,303,BROOKLYN
276 KENT AVENUE,301,BROOKLYN
26-01 4 STREET,401,QUEENS
197 QUINCY STREET,303,BROOKLYN
137-70 NORTHERN BOULEVARD,407,QUEENS
88-20 153 STREET,412,QUEENS
2001 NOSTRAND AVENUE,317,BROOKLYN
6691 BROADWAY,208,BRONX
58 GRATTAN STREET,301,BROOKLYN
40-09 29 STREET,401,QUEENS
132 NASSAU STREET,101,MANHATTAN
589 FULTON STREET,302,BROOKLYN
272 GREENE AVENUE,302,BROOKLYN
1795 45 STREET,312,BROOKLYN
488 8 AVENUE,105,MANHATTAN
1845 BROADWAY,107,MANHATTAN
679 VAN SINDEREN AVENUE,305,BROOKLYN
985 BRUCKNER BOULEVARD,202,BRONX
915 DAWSON STREET,202,BRONX
356 EAST  139 STREET,201,BRONX
1215 1 AVENUE,108,MANHATTAN
1329 3 AVENUE,108,MANHATTAN
534 UNION STREET,306,BROOKLYN
5-13 47 ROAD,402,QUEENS
16 WEST   45 STREET,105,MANHATTAN
81 GATEWAY DRIVE,305,BROOKLYN
1667 SHEEPSHEAD BAY ROAD,315,BROOKLYN
58 VANDERBILT AVENUE,302,BROOKLYN
205 EAST 110 STREET,NA,MANHATTAN
37-32 89 STREET,403,QUEENS
130-10 LIBERTY AVENUE,410,QUEENS
1568 AIR BROADWAY,105,MANHATTAN
32 CLAY STREET,301,BROOKLYN
1333 3 AVENUE,108,MANHATTAN
1120 NELSON AVENUE,204,BRONX
606 WEST   30 STREET,104,MANHATTAN
78-19 JAMAICA AVENUE,409,QUEENS
257 JEFFERSON STREET,304,BROOKLYN
171 CONCORD STREET,302,BROOKLYN
58 WEST 39 STREET,105,MANHATTAN
415 9 AVENUE,104,MANHATTAN
29-24 40 AVENUE,401,QUEENS
226 WITHERS STREET,301,BROOKLYN
6309 4 AVENUE,307,BROOKLYN
168 WEST 48 STREET,105,MANHATTAN
33-59 171 STREET,407,QUEENS
790 ALLERTON AVENUE,211,BRONX
585 ARGYLE ROAD,NA,BROOKLYN
764 MACON STREET,303,BROOKLYN
3552 EAST TREMONT AVENUE,210,BRONX
853 KENT AVENUE,303,BROOKLYN
411 BROADWAY,101,MANHATTAN
335 BOND STREET,306,BROOKLYN
1619 UNIONPORT ROAD,209,BRONX
200 PARK AVENUE,105,MANHATTAN
324 EAST 194 STREET,207,BRONX
2561 UNIVERSITY AVENUE,207,BRONX
465 HANCOCK STREET,303,BROOKLYN
539 6 AVENUE,104,MANHATTAN
1935 BEDFORD AVENUE,309,BROOKLYN
1 DEP PLAZA,101,MANHATTAN
156 RIVINGTON STREET,103,MANHATTAN
149 NEW JERSEY AVENUE,305,BROOKLYN
300 WYTHE AVENUE,301,BROOKLYN
417 RUTLAND ROAD,309,BROOKLYN
733 58 STREET,307,BROOKLYN
69 HOPE STREET,301,BROOKLYN
625 DRIGGS AVENUE,301,BROOKLYN
624 METROPOLITAN AVENUE,301,BROOKLYN
953 DEAN STREET,NA,BROOKLYN
335 TOMPKINS AVENUE,303,BROOKLYN
57 QUINCY STREET,303,BROOKLYN
428 TOMPKINS AVENUE,303,BROOKLYN
2201 3 AVENUE,111,MANHATTAN
24 WILSON AVENUE,304,BROOKLYN
665 5 AVENUE,105,MANHATTAN
97-30 64 AVENUE,406,QUEENS
620 WEST  153 STREET,109,MANHATTAN
42-38 27 STREET,402,QUEENS
571 FULTON STREET,302,BROOKLYN
71 QUINCY STREET,303,BROOKLYN
112-07 198 STREET,412,QUEENS
604 WEST 30 STREET,104,MANHATTAN
165 WEST 29 STREET,105,MANHATTAN
30 BARTLETT STREET,301,BROOKLYN
2688 BROADWAY,107,MANHATTAN
60 WEST 125 STREET,110,MANHATTAN
137 KINGS HIGHWAY,311,BROOKLYN
8039 PRESTON COURT,318,BROOKLYN
378 SCHERMERHORN STREET,302,BROOKLYN
350 EAST 86 STREET,108,MANHATTAN
81-80 COOPER AVENUE,405,QUEENS
650 GREENE AVENUE,303,BROOKLYN
627 HALSEY STREET,303,BROOKLYN
327 CONCORD AVENUE,201,BRONX
1528 45 STREET,312,BROOKLYN
609 SECOND AVENUE,106,MANHATTAN
3364 BOSTON ROAD,212,BRONX
630 EAST   31 STREET,317,BROOKLYN
11-10 154 STREET,407,QUEENS
1 WELDING ROAD,302,BROOKLYN
187 KENT AVENUE,301,BROOKLYN
2481 CROTONA AVENUE,206,BRONX
2258 AQUEDUCT AVENUE,205,BRONX
103-41 120 STREET,410,QUEENS
2461 AMSTERDAM AVENUE,112,MANHATTAN
312 WEST 127 STREET,110,MANHATTAN
5-22 49 AVENUE,402,QUEENS
417 RUTLAND ROAD,NA,BROOKLYN
2771 ATLANTIC AVENUE,305,BROOKLYN
66 CLERMONT AVENUE,302,BROOKLYN
936 2 AVENUE,106,MANHATTAN
271 14 STREET,306,BROOKLYN
20 MONITOR STREET,301,BROOKLYN
2037 OCEAN AVENUE,314,BROOKLYN
284 WEST 127 STREET,110,MANHATTAN
30 WEST 48 STREET,105,MANHATTAN
63 WEST 104 STREET,107,MANHATTAN
1541 DEAN STREET,308,BROOKLYN
43-09 52 STREET,402,QUEENS
19 HUDSON AVENUE,302,BROOKLYN
27 3 AVENUE,103,MANHATTAN
2180 ARTHUR AVENUE,206,BRONX
119 UNDERHILL AVENUE,308,BROOKLYN
204 AVENUE A,103,MANHATTAN
101 BOGART STREET,301,BROOKLYN
590 CLINTON STREET,306,BROOKLYN
340 MELROSE STREET,304,BROOKLYN
178 FLATBUSH AVENUE,306,BROOKLYN
1229 EASTERN PARKWAY,308,BROOKLYN
383 RUTLAND ROAD,309,BROOKLYN
461 EAST NEW YORK AVENUE,309,BROOKLYN
112 EAST 11 STREET,103,MANHATTAN
47 WILLOUGHBY STREET,302,BROOKLYN
364 EAST 194 STREET,207,BRONX
3273 3 AVENUE,NA,BRONX
81-07 KEW GARDENS ROAD,409,QUEENS
737 PARK PLACE,308,BROOKLYN
62 PENNSYLVANIA AVENUE,305,BROOKLYN
2094 BOSTON ROAD,206,BRONX
542 WEST 21 STREET,104,MANHATTAN
195-15 73 AVENUE,408,QUEENS
649 HART STREET,304,BROOKLYN
659 GRAND STREET,301,BROOKLYN
361 MACON STREET,303,BROOKLYN
1719 HYLAN BOULEVARD,502,STATEN ISLAND
101 SOUTH    2 STREET,301,BROOKLYN
183 AVENUE B,103,MANHATTAN
443 WEST  113 STREET,NA,MANHATTAN
45-07 48 AVENUE,402,QUEENS
91 GERRY STREET,301,BROOKLYN
115 WEST  190 STREET,207,BRONX
461 TOMPKINS AVENUE,303,BROOKLYN
43 - 25 52 STREET,NA,QUEENS
114 EAST  198 STREET,207,BRONX
2690 BROADWAY,107,MANHATTAN
1654 42 STREET,312,BROOKLYN
218-01 36 AVENUE,411,QUEENS
72 CATON PLACE,307,BROOKLYN
104-72 ROOSEVELT AVENUE,404,QUEENS
41-21 23 STREET,401,QUEENS
2275 LORING PLACE,207,BRONX
36 EAST 29 STREET,105,MANHATTAN
45-24 PEARSON STREET,402,QUEENS
181 JACKSON STREET,301,BROOKLYN
577 UNION STREET,306,BROOKLYN
46 BUFFALO AVENUE,303,BROOKLYN
980 WESTCHESTER AVENUE,202,BRONX
1916 LONGFELLOW AVENUE,206,BRONX
411 MEEKER AVENUE,301,BROOKLYN
148 PIONEER STREET,306,BROOKLYN
589 FULTON STREET,302,BROOKLYN
98-35 CORONA AVENUE,404,QUEENS
813 45 STREET,312,BROOKLYN
281 JEFFERSON AVENUE,303,BROOKLYN
72-08 MYRTLE AVENUE,405,QUEENS
333 IRVING AVENUE,304,BROOKLYN
122 EAST 32 STREET,105,MANHATTAN
40 EAST   80 STREET,108,MANHATTAN
10 MONTIETH STREET,304,BROOKLYN
115-36 159 STREET,412,QUEENS
416 METROPOLITAN AVENUE,301,BROOKLYN
412 WEST 126 STREET,109,MANHATTAN
1461 3 AVENUE,108,MANHATTAN
9 DASH PLACE,208,BRONX
140 HENRY STREET,103,MANHATTAN
751 CROTONA PARK NORTH,206,BRONX
821 FIRST AVENUE,106,MANHATTAN
673 HART STREET,304,BROOKLYN
38 EAST 2 STREET,103,MANHATTAN
1668 DEAN STREET,308,BROOKLYN
1771 WEEKS AVENUE,205,BRONX
21 PARK PLACE,101,MANHATTAN
117 EAST 79 STREET,108,MANHATTAN
10 LENOX AVENUE,110,MANHATTAN
2216 AQUEDUCT AVENUE,205,BRONX
125 WEST   57 STREET,105,MANHATTAN
29 HURON STREET,NA,BROOKLYN
551 GREENWICH STREET,102,MANHATTAN
2744 MATTHEWS AVENUE,211,BRONX
351 EAST 85 STREET,108,MANHATTAN
27-16 21 STREET,401,QUEENS
11 ESSEX STREET,103,MANHATTAN
1769 JEROME AVENUE,205,BRONX
280 EAST HOUSTON STREET,NA,MANHATTAN
32 RUTGERS STREET,103,MANHATTAN
785 EAST 34 STREET,317,BROOKLYN
23-14 45 AVENUE,402,QUEENS
232 55 STREET,307,BROOKLYN
707 CONCOURSE VILLAGE WEST,204,BRONX
262 17 STREET,307,BROOKLYN
158 PIONEER STREET,306,BROOKLYN
2256 AQUEDUCT AVENUE,205,BRONX
2960 BRIGHTON 4 STREET,313,BROOKLYN
149 NEW JERSEY AVENUE,305,BROOKLYN
40-44 24 STREET,401,QUEENS
458 ST MARKS AVENUE,308,BROOKLYN
874 EAST 180 STREET,206,BRONX
155 WITHERS STREET,301,BROOKLYN
2017 GRAND CONCOURSE,205,BRONX
10 WEST 47 STREET,105,MANHATTAN
147-22 73 AVENUE,408,QUEENS
475 BAY STREET,501,STATEN ISLAND
1454 39 STREET,312,BROOKLYN
141 NORTH 6 STREET,301,BROOKLYN
150 EAST 91 STREET,108,MANHATTAN
12 BERRY STREET,301,BROOKLYN
1360 FULTON STREET,303,BROOKLYN
1117 HOE AVENUE,202,BRONX
145 BOWERY,103,MANHATTAN
322 LINCOLN ROAD,309,BROOKLYN
133-08 ROCK BOULEVARD,410,QUEENS
808 ELSMERE PLACE,206,BRONX
199 MONTROSE AVENUE,301,BROOKLYN
182 SPRING STREET,102,MANHATTAN
2028 WALTON AVENUE,205,BRONX
467 GRAND STREET,301,BROOKLYN
959 ANDERSON AVENUE,204,BRONX
346 BUTLER STREET,306,BROOKLYN
676 MYRTLE AVENUE,NA,BROOKLYN
3825 CARPENTER AVENUE,212,BRONX
248 EAST 83 STREET,108,MANHATTAN
14 CLINTON STREET,103,MANHATTAN
30 FRONT STREET,302,BROOKLYN
205 EAST 110 STREET,111,MANHATTAN
131 BROOME STREET,103,MANHATTAN
297 3 AVENUE,106,MANHATTAN
1212 SEAGIRT BOULEVARD,NA,QUEENS
550 WEST 21 STREET,104,MANHATTAN
728 PROSPECT PLACE,308,BROOKLYN
45-11 78 STREET,404,QUEENS
32 WEST 38 STREET,105,MANHATTAN
297 EAST 161 STREET,204,BRONX
18-11 21 DRIVE,401,QUEENS
151 MULBERRY STREET,102,MANHATTAN
1451 59 STREET,312,BROOKLYN
38 WEST    8 STREET,102,MANHATTAN
536 WALES AVENUE,201,BRONX
205 JAVA STREET,301,BROOKLYN
44 BOX STREET,301,BROOKLYN
254 55 STREET,307,BROOKLYN
1209 1 AVENUE,108,MANHATTAN
428 WEST   19 STREET,104,MANHATTAN
2073 ANTHONY AVENUE,205,BRONX
1777 WEEKS AVENUE,205,BRONX
509 WEST 167 STREET,112,MANHATTAN
456 EAST  158 STREET,201,BRONX
112-02 14 ROAD,407,QUEENS
503 WEST 133 STREET,109,MANHATTAN
43-15 52 STREET,402,QUEENS
1052 WILLOUGHBY AVENUE,304,BROOKLYN
97-44 64 AVENUE,406,QUEENS
97-11 SUTPHIN BOULEVARD,412,QUEENS
949 BEDFORD AVENUE,303,BROOKLYN
193 22 STREET,307,BROOKLYN
222 1 STREET,306,BROOKLYN
989 6 AVENUE,105,MANHATTAN
107 SCHAEFER STREET,304,BROOKLYN
606 WEST 30 STREET,104,MANHATTAN
49-18 5 STREET,402,QUEENS
169 WILLIAMS AVENUE,305,BROOKLYN
43-36 53 STREET,402,QUEENS
757 VAN NEST AVENUE,211,BRONX
766 DECATUR STREET,316,BROOKLYN
81-80 COOPER AVENUE,405,QUEENS
1889 ATLANTIC AVENUE,303,BROOKLYN
342 EAST 104 STREET,111,MANHATTAN
27 MONTROSE AVENUE,301,BROOKLYN
115 WEST 180 STREET,205,BRONX
1834 3 AVENUE,111,MANHATTAN
24 MIDDLETON STREET,301,BROOKLYN
151 WEST 108 STREET,107,MANHATTAN
8794 BAY PARKWAY,311,BROOKLYN
2502-2506 NEWKIRK AVENUE,317,BROOKLYN
1347 3 AVENUE,108,MANHATTAN
50 VANDAM STREET,102,MANHATTAN
144-02 94 AVENUE,412,QUEENS
2138 BEDFORD AVENUE,314,BROOKLYN
44 VICTORY BOULEVARD,501,STATEN ISLAND
2-33 50 AVENUE,402,QUEENS
41-28 MURRAY STREET,407,QUEENS
906 EAST NEW YORK AVENUE,309,BROOKLYN
665 5 AVENUE,105,MANHATTAN
42-22 CRESCENT STREET,402,QUEENS
288 4 AVENUE,NA,BROOKLYN
2909 WEST 17 STREET,313,BROOKLYN
831 FOREST AVENUE,201,BRONX
4421 WHITE PLAINS ROAD,212,BRONX
128 EAST 28 STREET,105,MANHATTAN
63 LEWIS AVENUE,303,BROOKLYN
485 EAST   28 STREET,317,BROOKLYN
3530 WEBSTER AVENUE,207,BRONX
1547 EAST NEW YORK AVENUE,316,BROOKLYN
14-09 31 AVENUE,NA,QUEENS
39-76 58 STREET,402,QUEENS
1441 58 STREET,312,BROOKLYN
406 WILLOUGHBY AVENUE,NA,BROOKLYN
19-06 FLUSHING AVENUE,405,QUEENS
519 6 AVENUE,102,MANHATTAN
474 PROSPECT AVENUE,NA,BROOKLYN
931 CARROLL STREET,309,BROOKLYN
16 EAST   16 STREET,105,MANHATTAN
103 LEE AVENUE,301,BROOKLYN
32-35 QUEENS BOULEVARD,402,QUEENS
1981 MADISON AVENUE,111,MANHATTAN
2075 ANTHONY AVENUE,205,BRONX
2136 HONEYWELL AVENUE,206,BRONX
48-02 48 AVENUE,402,QUEENS
218 FRONT STREET,302,BROOKLYN
62 WEST 125 STREET,110,MANHATTAN
16 NOEL ROAD,414,QUEENS
15 BRIDGE PARK DRIVE,302,BROOKLYN
1 SULLIVAN PLACE,309,BROOKLYN
449 CHESTER STREET,316,BROOKLYN
31 TROUTMAN STREET,304,BROOKLYN
218 CLASSON AVENUE,302,BROOKLYN
15 WEST END AVENUE,315,BROOKLYN
280 DEKALB AVENUE,302,BROOKLYN
5-17 47 ROAD,402,QUEENS
95-01 37 AVENUE,403,QUEENS
407 WEST  206 STREET,112,MANHATTAN
1527 BRYANT AVENUE,203,BRONX
14 CLAY STREET,301,BROOKLYN
314 WEST 127 STREET,110,MANHATTAN
27 BRIGHTON   11 STREET,313,BROOKLYN
540 WEST 21 STREET,104,MANHATTAN
2077 RYER AVENUE,205,BRONX
1508 CONEY ISLAND AVENUE,312,BROOKLYN
661 MANIDA STREET,202,BRONX
507 3 AVENUE,106,MANHATTAN
