address,c_b_no,Borough
447 WALES AVENUE,201,BRONX
432 WEST 19 STREET,104,MANHATTAN
84 14 STREET,306,BROOKLYN
827 STERLING PLACE,308,BROOKLYN
168 MONROE STREET,303,BROOKLYN
32-08 38 STREET,401,QUEENS
2800 GOULDEN AVENUE,207,BRONX
679 MARCY AVENUE,303,BROOKLYN
28-20 42 ROAD,402,QUEENS
240 WEST  123 STREET,110,MANHATTAN
142 MORNINGSTAR ROAD,501,STATEN ISLAND
625 FULTON STREET,302,BROOKLYN
2926 FULTON STREET,305,BROOKLYN
572 5 AVENUE,105,MANHATTAN
27-09 40 AVENUE,401,QUEENS
1580 NOSTRAND AVENUE,317,BROOKLYN
142 HURON STREET,301,BROOKLYN
35-32 LEAVITT STREET,407,QUEENS
41-14 27 STREET,401,QUEENS
1986 3 AVENUE,111,MANHATTAN
39 TRUXTON STREET,316,BROOKLYN
280 EAST HOUSTON STREET,103,MANHATTAN
383 EAST  201 STREET,207,BRONX
1510 BROADWAY,316,BROOKLYN
413 THROOP AVENUE,303,BROOKLYN
1530 MACE AVENUE,211,BRONX
21 WEST 17 STREET,105,MANHATTAN
98-60 QUEENS BOULEVARD,406,QUEENS
1371 51 STREET,312,BROOKLYN
107 WILLOUGHBY STREET,302,BROOKLYN
23-15 44 ROAD,402,QUEENS
228-02 MERRICK BOULEVARD,413,QUEENS
48 EAST 7 STREET,103,MANHATTAN
129-24 MERRICK BOULEVARD,412,QUEENS
85-08 57 AVENUE,404,QUEENS
1319 CLAY AVENUE,204,BRONX
470 KENT AVENUE,301,BROOKLYN
4419 12 AVENUE,312,BROOKLYN
80 ADAMS STREET,302,BROOKLYN
215 WEST   84 STREET,107,MANHATTAN
1618 FULTON STREET,303,BROOKLYN
635 FULTON STREET,302,BROOKLYN
2001 ANTHONY AVENUE,205,BRONX
695 LENOX AVENUE,110,MANHATTAN
289 22 STREET,307,BROOKLYN
98-37 CORONA AVENUE,404,QUEENS
116-10 155 STREET,412,QUEENS
272 SOUTH    1 STREET,301,BROOKLYN
670 UNION STREET,306,BROOKLYN
1578 LEXINGTON AVENUE,111,MANHATTAN
287 EAST  148 STREET,201,BRONX
352 SHEPHERD AVENUE,305,BROOKLYN
2505 MCDONALD AVENUE,315,BROOKLYN
2895 VALENTINE AVENUE,207,BRONX
805 EAST  224 STREET,212,BRONX
106 GARDNER AVENUE,301,BROOKLYN
96 KING STREET,306,BROOKLYN
6818 8 AVENUE,310,BROOKLYN
133 3 AVENUE,106,MANHATTAN
351 EAST 85 STREET,108,MANHATTAN
370 EAST 158 STREET,201,BRONX
48-37 48 STREET,402,QUEENS
343 RALPH AVENUE,303,BROOKLYN
2-24 26 AVENUE,401,QUEENS
255 EAST 39 STREET,106,MANHATTAN
92-06 196 STREET,412,QUEENS
1203 EAST NEW YORK AVENUE,316,BROOKLYN
575 FULTON STREET,302,BROOKLYN
27-23 CRESCENT STREET,401,QUEENS
631 HOWARD AVENUE,501,STATEN ISLAND
83-05 116 STREET,409,QUEENS
30-86 14 STREET,401,QUEENS
255 EAST 39 STREET,106,MANHATTAN
2017 GRAND CONCOURSE,NA,BRONX
1663 SHEEPSHEAD BAY ROAD,315,BROOKLYN
407 WEST   30 STREET,104,MANHATTAN
37-25 32 STREET,401,QUEENS
1211 PUTNAM AVENUE,304,BROOKLYN
90-24 161 STREET,412,QUEENS
645 GATES AVENUE,303,BROOKLYN
230 CLASSON AVENUE,302,BROOKLYN
311 LOCUST AVENUE,201,BRONX
1718 PRESIDENT STREET,309,BROOKLYN
1597 2 AVENUE,108,MANHATTAN
238 GREENE AVENUE,302,BROOKLYN
830 EMPIRE BOULEVARD,309,BROOKLYN
2107 MAPES AVENUE,206,BRONX
958 6 AVENUE,105,MANHATTAN
147-58 77 ROAD,408,QUEENS
79 GATEWAY DRIVE,305,BROOKLYN
42-42 27 STREET,402,QUEENS
227 CLARKSON AVENUE,309,BROOKLYN
542 ATLANTIC AVENUE,302,BROOKLYN
128 EAST 28 STREET,105,MANHATTAN
402 ST MARKS PLACE,501,STATEN ISLAND
141-35 71 AVENUE,408,QUEENS
43-01 QUEENS STREET,402,QUEENS
2495 SEDGEWICK AVENUE,207,BRONX
11 LEWIS AVENUE,303,BROOKLYN
1515 46 STREET,312,BROOKLYN
205 EAST  110 STREET,111,MANHATTAN
117-03 CURZON ROAD,409,QUEENS
38-53 10 STREET,401,QUEENS
280 8 AVENUE,104,MANHATTAN
360 WYTHE AVENUE,301,BROOKLYN
491 HERKIMER STREET,303,BROOKLYN
52-18 ROOSEVELT AVENUE,402,QUEENS
2074 WALTON AVENUE,205,BRONX
1568 AIR BROADWAY,105,MANHATTAN
5-01 47 ROAD,402,QUEENS
15 PARKVILLE AVENUE,312,BROOKLYN
23-30 BORDEN AVENUE,402,QUEENS
127A BAY 49 STREET,313,BROOKLYN
929 64 STREET,310,BROOKLYN
2371 8 AVENUE,110,MANHATTAN
43 GRAHAM AVENUE,301,BROOKLYN
40 EAST 4 STREET,102,MANHATTAN
61 METROPOLITAN AVENUE,301,BROOKLYN
71 QUINCY STREET,303,BROOKLYN
1751 MONROE AVENUE,205,BRONX
278 FLUSHING AVENUE,302,BROOKLYN
114 EAST 198 STREET,207,BRONX
1220 SPOFFORD AVENUE,202,BRONX
815 KINGS HIGHWAY,NA,BROOKLYN
104-19 ROOSEVELT AVENUE,403,QUEENS
1640 NEW YORK AVENUE,317,BROOKLYN
263 EAST  203 STREET,207,BRONX
38-18 CRESCENT STREET,401,QUEENS
5278 POST ROAD,208,BRONX
142 WEST   19 STREET,104,MANHATTAN
650 EAST 6 STREET,103,MANHATTAN
504 WEST 110 STREET,107,MANHATTAN
94 TOMPKINS AVENUE,303,BROOKLYN
581 FULTON STREET,302,BROOKLYN
460 EAST   29 STREET,317,BROOKLYN
27-15 ASTORIA BOULEVARD,401,QUEENS
652 DE KALB AVENUE,303,BROOKLYN
98 MLK PLACE,303,BROOKLYN
106 NORTH    1 STREET,301,BROOKLYN
3101 VILLA AVENUE,207,BRONX
585 ARGYLE ROAD,314,BROOKLYN
205 CANAL STREET WEST,201,BRONX
509 WEST  167 STREET,NA,MANHATTAN
137 FROST STREET,301,BROOKLYN
760 MADISON AVENUE,108,MANHATTAN
272 SCHENECTADY AVENUE,308,BROOKLYN
138-54 QUEENS BOULEVARD,408,QUEENS
133-09 37 AVENUE,NA,QUEENS
563 WEST  170 STREET,112,MANHATTAN
2414 CAMBRELENG AVENUE,206,BRONX
134 WAVERLY AVENUE,302,BROOKLYN
428 WEST 19 STREET,104,MANHATTAN
511 3 AVENUE,106,MANHATTAN
74 PALMETTO STREET,304,BROOKLYN
2700 ATLANTIC AVENUE,305,BROOKLYN
39-12 104 STREET,403,QUEENS
2926 WEST 25 STREET,313,BROOKLYN
40-21 27 STREET,401,QUEENS
1524 47 STREET,312,BROOKLYN
785 EAST   34 STREET,317,BROOKLYN
8713 4 AVENUE,310,BROOKLYN
155 WEST 29 STREET,105,MANHATTAN
3095 VILLA AVENUE,207,BRONX
908 KENT AVENUE,303,BROOKLYN
139 EAST HOUSTON STREET,103,MANHATTAN
258 ROCKAWAY AVENUE,316,BROOKLYN
1011 UNION AVENUE,203,BRONX
461 ALABAMA AVENUE,305,BROOKLYN
3052 HULL AVENUE,NA,BRONX
842 LIBERTY AVENUE,305,BROOKLYN
339 5 AVENUE,105,MANHATTAN
2078 WALTON AVENUE,205,BRONX
2928 WEST 5 STREET,313,BROOKLYN
2911 ALBEMARLE ROAD,317,BROOKLYN
76 NORTH    8 STREET,301,BROOKLYN
94-15 SUTPHIN BOULEVARD,412,QUEENS
37 6 AVENUE,308,BROOKLYN
570 FULTON STREET,302,BROOKLYN
168 EAST  111 STREET,111,MANHATTAN
1234 MADISON AVENUE,108,MANHATTAN
50 VARET STREET,301,BROOKLYN
1997 ANTHONY AVENUE,205,BRONX
1047 OGDEN AVENUE,204,BRONX
527 6 AVENUE,102,MANHATTAN
144-04 94 AVENUE,NA,QUEENS
131 CONCORD STREET,302,BROOKLYN
30-05 VERNON BOULEVARD,401,QUEENS
1063 FULTON STREET,302,BROOKLYN
58 WEST 39 STREET,105,MANHATTAN
1148 WASHINGTON AVENUE,203,BRONX
38-31 9 STREET,401,QUEENS
11-36 45 ROAD,402,QUEENS
433 2 AVENUE,NA,MANHATTAN
3500 PARK AVENUE,203,BRONX
491 EVERGREEN AVENUE,304,BROOKLYN
131-11 FOWLER AVENUE,407,QUEENS
445 EXTERIOR STREET,201,BRONX
1030 MANHATTAN AVENUE,301,BROOKLYN
218 KENT AVENUE,301,BROOKLYN
273 14 STREET,306,BROOKLYN
144-20 LIBERTY AVENUE,412,QUEENS
116 NEW JERSEY AVENUE,305,BROOKLYN
1022 3 AVENUE,108,MANHATTAN
22-25 NEW HAVEN AVENUE,414,QUEENS
133-25 37 AVENUE,407,QUEENS
1026 3 AVENUE,108,MANHATTAN
643 EAST TREMONT AVENUE,206,BRONX
53-20 90 STREET,404,QUEENS
2490 3 AVENUE,201,BRONX
1605 VILLAGE LANE,414,QUEENS
50 VANDAM STREET,102,MANHATTAN
212 WEST  124 STREET,110,MANHATTAN
11-11 BROADWAY,401,QUEENS
2136 CROTONA PARKWAY,206,BRONX
120 LEXINGTON AVENUE,105,MANHATTAN
43-46 39 PLACE,402,QUEENS
334 BEDFORD AVENUE,301,BROOKLYN
356 EAST 78 STREET,108,MANHATTAN
952 BEDFORD AVENUE,303,BROOKLYN
9 EAST 75 STREET,108,MANHATTAN
93-54 QUEENS BOULEVARD,406,QUEENS
999 CO-OP CITY BOULEVARD,210,BRONX
2715 FULTON STREET,305,BROOKLYN
4271 BROADWAY,112,MANHATTAN
612 EAST 179 STREET,206,BRONX
170 WEST 48 STREET,NA,MANHATTAN
105 ROGERS AVENUE,308,BROOKLYN
2461 AMSTERDAM AVENUE,112,MANHATTAN
85 WYTHE AVENUE,301,BROOKLYN
275 SKILLMAN STREET,303,BROOKLYN
30 SKILLMAN AVENUE,301,BROOKLYN
410 WEST   49 STREET,104,MANHATTAN
1956 JEROME AVENUE,205,BRONX
66 SOUTH    6 STREET,301,BROOKLYN
116 WAVERLY AVENUE,302,BROOKLYN
417 PARK AVENUE,105,MANHATTAN
3165 VILLA AVENUE,207,BRONX
21 WEST 17 STREET,105,MANHATTAN
88-36 139 STREET,412,QUEENS
394 GATES AVENUE,303,BROOKLYN
126 HESTER STREET,NA,MANHATTAN
1102 BANNER AVENUE,315,BROOKLYN
97-19 64 ROAD,406,QUEENS
111 EAST 79 STREET,108,MANHATTAN
164 WEST 225 STREET,208,MANHATTAN
148 39 STREET,307,BROOKLYN
167 EAST 124 STREET,111,MANHATTAN
1302 EDWARD L GRANT HIGHWAY,204,BRONX
136-15 ROOSEVELT AVENUE,407,QUEENS
286 ASHLAND PLACE,302,BROOKLYN
1711 CONEY ISLAND AVENUE,314,BROOKLYN
38-19 9 STREET,401,QUEENS
1652 42 STREET,312,BROOKLYN
50 PENNSYLVANIA AVENUE,305,BROOKLYN
510 GATES AVENUE,303,BROOKLYN
16 NOEL ROAD,414,QUEENS
5012 20 AVENUE,312,BROOKLYN
1366 EAST NEW YORK AVENUE,316,BROOKLYN
46-11 QUEENS BOULEVARD,402,QUEENS
820 60 STREET,312,BROOKLYN
1202 BEDFORD AVENUE,303,BROOKLYN
350 WEST 45 STREET,104,MANHATTAN
193 23 STREET,307,BROOKLYN
29 HURON STREET,301,BROOKLYN
3056 DECATUR AVENUE,207,BRONX
342 METROPOLITAN AVENUE,301,BROOKLYN
517 BROOKLYN AVENUE,309,BROOKLYN
112 SEAMAN AVENUE,112,MANHATTAN
2463 BROADWAY,107,MANHATTAN
2556 BRIGGS AVENUE,207,BRONX
100 RICHARDSON STREET,301,BROOKLYN
48 EAST 86 STREET,108,MANHATTAN
19 HUDSON AVENUE,302,BROOKLYN
4778 BROADWAY,112,MANHATTAN
52 EAST 126 STREET,111,MANHATTAN
136-20 BOOTH MEMORIAL AVENUE,407,QUEENS
688 6 AVENUE,307,BROOKLYN
103-10 NORTHERN BOULEVARD,403,QUEENS
206 MIDDLETON STREET,301,BROOKLYN
3217 112 STREET,403,QUEENS
70-50 QUEENS BOULEVARD,402,QUEENS
94-07 101 AVENUE,409,QUEENS
428 EAST    9 STREET,312,BROOKLYN
75 DUPONT STREET,NA,BROOKLYN
345 FLUSHING AVENUE,301,BROOKLYN
204 AVENUE A,103,MANHATTAN
18-26 REDFERN AVENUE,414,QUEENS
76 WEST  170 STREET,204,BRONX
487 4 AVENUE,NA,BROOKLYN
1256 38 STREET,312,BROOKLYN
65 WEST BROADWAY,101,MANHATTAN
6313 FT HAMILTON PARKWAY,310,BROOKLYN
1522 57 STREET,312,BROOKLYN
1081 AMSTERDAM AVENUE,109,MANHATTAN
32 RUTGERS STREET,103,MANHATTAN
417 MEEKER AVENUE,301,BROOKLYN
2491 OCEAN AVENUE,315,BROOKLYN
656 EAST  176 STREET,206,BRONX
1616 CROSBY AVENUE,210,BRONX
338 DEVOE STREET,301,BROOKLYN
5 STUYVESANT PLACE,501,STATEN ISLAND
205 7 AVENUE,104,MANHATTAN
204 EAST 83 STREET,108,MANHATTAN
1436 JESUP AVENUE,204,BRONX
368 EAST 194 STREET,207,BRONX
859 LAFAYETTE AVENUE,303,BROOKLYN
116 15 STREET,307,BROOKLYN
97-04 SUTPHIN BOULEVARD,412,QUEENS
93 GERRY STREET,301,BROOKLYN
213 26 STREET,307,BROOKLYN
505 WEST 43 STREET,104,MANHATTAN
27-49 JACKSON AVENUE,402,QUEENS
253 EMPIRE BOULEVARD,309,BROOKLYN
25-62 97 STREET,403,QUEENS
347 MADISON AVENUE,105,MANHATTAN
66 EAST  177 STREET,205,BRONX
3815 CARPENTER AVENUE,212,BRONX
46-30 21 STREET,402,QUEENS
355 BEDFORD AVENUE,301,BROOKLYN
144 WEST  129 STREET,110,MANHATTAN
980 EAST  149 STREET,201,BRONX
250 EUCLID AVENUE,305,BROOKLYN
186 SPRING STREET,102,MANHATTAN
2355 29 STREET,401,QUEENS
85 DEKALB AVENUE,302,BROOKLYN
778 MYRTLE AVENUE,303,BROOKLYN
1232 BEDFORD AVENUE,303,BROOKLYN
3966 10 AVENUE,112,MANHATTAN
205 EAST 125 STREET,111,MANHATTAN
18 INDIA STREET,301,BROOKLYN
57 LYNCH STREET,301,BROOKLYN
231 CHESTER STREET,316,BROOKLYN
13 GREENPOINT AVENUE,301,BROOKLYN
327 BOND STREET,306,BROOKLYN
653 UNION STREET,306,BROOKLYN
94-54 LEFFERTS BOULEVARD,409,QUEENS
225 WEST KINGSBRIDGE ROAD,208,BRONX
424 HALSEY STREET,303,BROOKLYN
1658 EASTERN PARKWAY,316,BROOKLYN
85 ADELPHI STREET,302,BROOKLYN
241 EAST  202 STREET,207,BRONX
100 SCHOLES STREET,301,BROOKLYN
323 EAST 79 STREET,108,MANHATTAN
145-14 GLASSBORO AVENUE,412,QUEENS
196A 13 STREET,306,BROOKLYN
15 BEEKMAN STREET,101,MANHATTAN
1401 INWOOD AVENUE,204,BRONX
343 MADISON AVENUE,105,MANHATTAN
207 7 AVENUE,104,MANHATTAN
45-09 23 STREET,402,QUEENS
445 5 AVENUE,306,BROOKLYN
499 LEXINGTON AVENUE,303,BROOKLYN
2856 WEBSTER AVENUE,207,BRONX
45-27 DAVIS STREET,402,QUEENS
167 LEXINGTON AVENUE,106,MANHATTAN
20-08 STEINWAY STREET,401,QUEENS
15 WEST 136 STREET,110,MANHATTAN
58 PALMETTO STREET,304,BROOKLYN
355 WEST 34 STREET,104,MANHATTAN
520 5 AVENUE,105,MANHATTAN
3761 10 AVENUE,112,MANHATTAN
415 MARCY AVENUE,301,BROOKLYN
2396 ATLANTIC AVENUE,NA,BROOKLYN
37-42 30 STREET,NA,QUEENS
1201 SPOFFORD AVENUE,202,BRONX
683 COURT STREET,306,BROOKLYN
95-22 147 PLACE,412,QUEENS
87-80 MERRICK BOULEVARD,412,QUEENS
12-19 31 DRIVE,401,QUEENS
531 TINTON AVENUE,201,BRONX
42-01 28 AVENUE,401,QUEENS
222 EAST BROADWAY,103,MANHATTAN
142 FULTON STREET,101,MANHATTAN
1665 JEROME AVENUE,205,BRONX
152 WEST  136 STREET,110,MANHATTAN
875 4 AVENUE,307,BROOKLYN
499 PRESIDENT STREET,306,BROOKLYN
346 AVENUE U,NA,BROOKLYN
3312 SURF AVENUE,313,BROOKLYN
150-11 41 AVENUE,407,QUEENS
37-34 33 STREET,401,QUEENS
2837 WEST   19 STREET,313,BROOKLYN
270 14 STREET,306,BROOKLYN
3050 WEST   21 STREET,313,BROOKLYN
1892 BROADWAY,316,BROOKLYN
50 EAST 86 STREET,108,MANHATTAN
77 COMMERCIAL STREET,301,BROOKLYN
193 13 STREET,306,BROOKLYN
96 TOMPKINS AVENUE,303,BROOKLYN
366 FULTON STREET,302,BROOKLYN
883 BRYANT AVENUE,202,BRONX
4609 16 AVENUE,312,BROOKLYN
183 20 STREET,307,BROOKLYN
81A MALCOLM X BLVD,NA,BROOKLYN
326 ROCKAWAY AVENUE,NA,BROOKLYN
1688 EAST 18 STREET,NA,BROOKLYN
528 MIDWOOD STREET,309,BROOKLYN
336 22 STREET,307,BROOKLYN
1051 WHITLOCK AVENUE,202,BRONX
961 64 STREET,310,BROOKLYN
154 LENOX ROAD,317,BROOKLYN
5 PLATT STREET,101,MANHATTAN
249 EAST   62 STREET,108,MANHATTAN
1508 CONEY ISLAND AVENUE,312,BROOKLYN
825 39 STREET,312,BROOKLYN
1427 49 STREET,312,BROOKLYN
4504 15 AVENUE,312,BROOKLYN
3560 BRONXWOOD AVENUE,212,BRONX
955 NOSTRAND AVENUE,309,BROOKLYN
259 HULL STREET,316,BROOKLYN
1826 ANTHONY AVENUE,205,BRONX
142 AVENUE O,311,BROOKLYN
311 EASTERN PARKWAY,NA,BROOKLYN
329 CLARKSON AVENUE,NA,BROOKLYN
218 20 STREET,307,BROOKLYN
300 EAST 50 STREET,106,MANHATTAN
4570 3 AVENUE,NA,BRONX
136-11 ROOSEVELT AVENUE,407,QUEENS
23 OCEAN PARKWAY,307,BROOKLYN
197 NEW JERSEY AVENUE,305,BROOKLYN
1230 MADISON AVENUE,108,MANHATTAN
538 3 AVENUE,106,MANHATTAN
2104 RYER AVENUE,NA,BRONX
3466 WEBSTER AVENUE,207,BRONX
414 EAST  152 STREET,201,BRONX
586 GERARD AVENUE,204,BRONX
118 WAVERLY AVENUE,302,BROOKLYN
1834 3 AVENUE,111,MANHATTAN
432 EAST    9 STREET,312,BROOKLYN
2502 NEWKIRK AVENUE,317,BROOKLYN
33-27 PRINCE STREET,407,QUEENS
118 15 STREET,307,BROOKLYN
45 GRAHAM AVENUE,301,BROOKLYN
2779 UNIVERSITY AVENUE,208,BRONX
103 EAST 29 STREET,105,MANHATTAN
63 METROPOLITAN AVENUE,301,BROOKLYN
1010 PACIFIC STREET,308,BROOKLYN
1424 VYSE AVENUE,203,BRONX
16 WEST 18 STREET,105,MANHATTAN
463 A HANCOCK STREET,303,BROOKLYN
489 STATE STREET,302,BROOKLYN
1239 EAST NEW YORK AVENUE,316,BROOKLYN
88 4 AVENUE,302,BROOKLYN
11-36 45 ROAD,402,QUEENS
935 EAST 179 STREET,206,BRONX
1409 FLATBUSH AVENUE,314,BROOKLYN
10 CLAY STREET,301,BROOKLYN
1080 WASHINGTON AVENUE,203,BRONX
2252 AQUEDUCT AVENUE,NA,BRONX
573 JACKSON AVENUE,201,BRONX
172-10 JAMAICA AVENUE,412,QUEENS
2660 KINGSBRIDGE TERRACE,207,BRONX
142-44 ROOSEVELT AVENUE,407,QUEENS
432 WEST   19 STREET,104,MANHATTAN
1816 HARRISON AVENUE,205,BRONX
2833 VALENTINE AVENUE,207,BRONX
91-23 CORONA AVENUE,404,QUEENS
88 NORTH    1 STREET,301,BROOKLYN
38-38 32 STREET,401,QUEENS
3880 9 AVENUE,112,MANHATTAN
319 WEST   38 STREET,104,MANHATTAN
1005 LORIMER STREET,301,BROOKLYN
2123 GLEBE AVENUE,210,BRONX
132 39 STREET,307,BROOKLYN
569 FULTON STREET,302,BROOKLYN
332 STAGG STREET,301,BROOKLYN
80 20 STREET,307,BROOKLYN
27-15 ASTORIA BOULEVARD,401,QUEENS
170 JAVA STREET,301,BROOKLYN
78 HARMAN STREET,304,BROOKLYN
1626 52 STREET,312,BROOKLYN
335 EAST 82 STREET,108,MANHATTAN
57-14 A GRANGER STREET,404,QUEENS
4519 WHITE PLAINS ROAD,212,BRONX
50 EAST  112 STREET,111,MANHATTAN
1759 WEST FARMS ROAD,203,BRONX
161 HOPE STREET,301,BROOKLYN
25 GREAT JONES STREET,102,MANHATTAN
3311 3 AVENUE,203,BRONX
2-21 MALT DRIVE,402,QUEENS
410 WEST  207 STREET,112,MANHATTAN
108-56 ROOSEVELT AVENUE,404,QUEENS
344 BUTLER STREET,306,BROOKLYN
371 STOCKHOLM STREET,304,BROOKLYN
740 EAST  137 STREET,201,BRONX
33 TROUTMAN STREET,304,BROOKLYN
174 MADISON STREET,NA,BROOKLYN
124 LEXINGTON AVENUE,105,MANHATTAN
3769 10 AVENUE,112,MANHATTAN
178 SKILLMAN AVENUE,301,BROOKLYN
144-10 LIBERTY AVENUE,412,QUEENS
91 BRUCKNER BOULEVARD,201,BRONX
781 ELSMERE PLACE,206,BRONX
107 SOUTH    3 STREET,301,BROOKLYN
215 WEST KINGSBRIDGE ROAD,208,BRONX
35 WEST 44 STREET,105,MANHATTAN
135-19 78 ROAD,408,QUEENS
1026 3 AVENUE,108,MANHATTAN
860 BRONX PARK SOUTH,206,BRONX
1001 UNION AVENUE,203,BRONX
27-20 42 ROAD,402,QUEENS
43-39 38 STREET,402,QUEENS
641 DEKALB AVENUE,303,BROOKLYN
